zloty,PLN
won sul coreano,KRW
novo shekel israelense,ILS
dólar australiano,AUD
dólar de singapura,SGD
peso mexicano,MXN
rand,ZAR
dólar neozelandês,NZD
coroa norueguesa,NOK
renminbi,CNY
lira turca,TRY
lev búlgaro,BGN
ringgit malaio,MYR
franco suíço,CHF
bate,THB
iene,JPY
kuna croata,HRK
rublo russo,RUB
real,BRL
rupia indiana,INR
rupia indonésia,IDR
coroa sueca,SEK
leu romeno,RON
libra esterlina,GBP
coroa checa,CZK
florim húngaro,HUF
coroa dinamarquesa,DKK
peso filipino,PHP
coroa islandesa,ISK
dólar hong kong,HKD
dólar canadense,CAD
euro,EUR
dólar,USD